Editor*,Name,Company / Organisation name,Value Proposition text,Data & Software,Distribution,Renovation and maintenance,Renewable Decentralized Electricity Production,Self-consumption community,Self-consumption optimization,Home Automation,Mobility,Other Scope,All,Economic value,Emotional value,Ethical/ Normative value,Epistemic value (Knowledge/ Innovation),Functional value,Social value,Other value,Uncertain value,#REF!,No Value,Capital provider,Contractor,Developer,Infrastructure operator,Local authority,Owner (functional building),Owner (residential - multi),Owner (residential - single),User (tenant),Other customer,Uncertain customer,#REF!,No Customer,B2B,B2C,Advertising ,Asset selling,Brokerage fees,Lending / Renting / Leasing,Licensing,Other stream,Uncertain stream,#REF!,No Revenue,One-time payment,Payment by installments,Subscription fee,Usage fee,Other invoicing,Uncertain invoicing,#REF!,No Invoicing,Payment,Fees,Intermediary,Online,Physical Store,Sales force,Other channel,Uncertain channel,#REF!,No Channel,Atomised,Platform,One-stop-shop,Analysis software,Uncertain,No Archetype
BuF,myPowerGrid,Wendeware AG,"Sie wollen sehen, was energetisch in Ihrem Haus passiert?
Sie wollen möglichst viel Ihres Solarstroms selbst verbrauchen?
Und dabei wollen Sie unabhängig von einzelnen Geräteherstellern sein?",0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,A1 Energy Solutions,A1 Telekom Austria AG,"Mit den A1 Energy Solutions sind Sie auf der sicheren Seite. Unsere Lösungen helfen Ihnen auf die Herausforderungen der Zukunft in der Energiebranche zu reagieren, unterschiedliche Märkte zu bedienen und die Flexibilitäts- und Digitalisierungsanforderungen Ihrer Kunden zu erfüllen.",1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,"Energie, die atmet",aliunid AG,"aliunid ist ein White-Label-Angebot für Energieversorger, Netzbetreiber und Energieproduzenten. Die Endkunden (Haushalte, Immobilienverwaltungen und KMUs) erleben aliunid als Smart-Home- oder Smart-Business-Lösung.",1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Smart Energy System,ASGAL Informatik GmbH,"Das Smart Energy System (SES) unterstützt die Energieversorgungsunternehmen (EVU) bei der täglichen Arbeit. Alle Energie-Dienstleistungs-Prozesse können in einem Web-Portal anwenderfreundlich und aufgabengerecht erledigt werden. Die Zählerfernauslesung (ZFA), Energie Daten Management (EDM), Last-Management (LM), Austausch der Messdaten (SDAT) und die Aufbereitung der Energie-Verrechnungsdaten werden in einem gemeinsamen Produkt angeboten.",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,All-in-One Energiedatenmanagement,ASKI Industrie Elektronik GmbH,"Economic value

Functional value",1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BuF,ATHION ALPHA,ATHION GmbH,"Als professionelles Energiemanagementsystem hilft Ihnen ATHION ALPHA bei der Digitalisierung Ihres Energiemanagements.
Mit innovativen und leistungsstarken Verfahren aus den Bereichen der künstlichen Intelligenz und der mathematischen Optimierung ermöglicht ATHION ALPHA außerdem die effektive Bewirtschaftung Ihres Energiesystems.",1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,beegy Webportal,beegy GmbH,"Mit dem Webportal haben Ihre Kunden alle relevanten Energiedaten im Haushalt online jederzeit im Blick:
- Stromerzeugung der Photovoltaikanlage
- Eigenverbrauch im Haus sowie Gesamtstromverbrauch im Haushalt
- Ladestatus des Batteriespeichers und des Elektroautos (bei HERMINE Kunden)
- unkomplizierte Historie-Anzeige aller Energieflüsse",1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,beegy Energiekomponente,beegy GmbH,"Selbstproduzierter Strom mit einer Photovoltaikanlage ist die Basis für eine unabhängige Stromversorgung, für ein cleveres Energiesystem zu Hause. Ein Batteriespeicher und eine Ladestation für das Elektroauto komplettieren das innovative Energiekonzept des Eigenheims. Das Gateway sorgt als intelligenter Energiemanager für deren Vernetzung und Optimierung.
So ermöglichen Sie Ihren Kunden, sich umweltfreundlich mit Strom zu versorgen und bereiten zugleich den Weg in die E-Mobilität. Bei unseren Energiekomponenten verlassen wir uns ausschließlich auf bewährte Markenprodukte. Die einzelnen Komponenten des beegy Systems sind perfekt aufeinander abgestimmt und können jederzeit erweitert werden.",0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Climkit Optimierung,Climkit SA,"Die Climkit Optimierung erhöht die Eigenverbrauchsquote dadurch dass bestimmte Geräte in Funktion der überschüssigen PV-Produktion eingeschaltet werden.
Es können Boiler, Heizung, Wärmepumpe, Klimaanlage, Batterien, Elektrofahrzeuge, Poolpumpe, Lüftung usw. angeschlossen werden.
Speichern Sie damit Ihre Solarenergie ohne Batterie, und erhöhen Sie Ihre Unabhängigkeit.",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Consolinno Optimierung,Consolinno Energy GmbH,Durch optimale Steuerung von Anlagenkomponenten und maschinelles Lernen von Energiesystemen können Erzeugeranlagen in einem System ideal gesteuert und geregelt werden um die Wirtschaftlichkeit und Ressourceneffizienz zu steigern.,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
